origin,destination,weekday,time,path,zscore,pvalue
"Loudoun County, NOVA","Capital Hill, DC",5,04:00,US-50-EB,47.78735860973045,0.0
"Loudoun County, NOVA","Capital Hill, DC",1,05:00,I-66-EB,51.121553477797306,0.0
"Loudoun County, NOVA","Capital Hill, DC",1,05:30,I-66-EB,51.30174103575589,0.0
"Loudoun County, NOVA","Capital Hill, DC",1,06:00,I-66-EB,2.213385638891836,0.02687106990628174
"Loudoun County, NOVA","Capital Hill, DC",2,06:00,I-66-WB,25.531402234429272,0.0
"Loudoun County, NOVA","Capital Hill, DC",3,06:00,US-50-EB,45.488977277001446,0.0
"Loudoun County, NOVA","Capital Hill, DC",4,06:00,I-66-EB,0.989778662916574,0.32228231616960024
"Loudoun County, NOVA","Capital Hill, DC",1,06:30,US-50-EB,2.858139383030902,0.004261331642179567
"Loudoun County, NOVA","Capital Hill, DC",4,06:30,I-66-EB,2.0208515141752006,0.0432951383231861
"Loudoun County, NOVA","Capital Hill, DC",4,06:30,US-50-EB,0.989778662916574,0.32228231616960024
"Loudoun County, NOVA","Capital Hill, DC",5,06:30,US-50-EB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Capital Hill, DC",1,07:00,I-66-EB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Capital Hill, DC",1,07:00,US-29-NB,24.23910401586055,0.0
"Loudoun County, NOVA","Capital Hill, DC",2,07:00,US-50-EB,1.399785802180702,0.16157747067871187
"Loudoun County, NOVA","Capital Hill, DC",3,07:00,I-66-EB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Capital Hill, DC",3,07:00,US-50-EB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Capital Hill, DC",3,07:00,US-29-NB,23.140075801016604,0.0
"Loudoun County, NOVA","Capital Hill, DC",4,07:00,US-50-EB,1.0207202474460892,0.3073869988525977
"Loudoun County, NOVA","Capital Hill, DC",1,07:30,US-50-EB,1.399785802180702,0.16157747067871187
"Loudoun County, NOVA","Capital Hill, DC",2,07:30,I-66-EB,1.399785802180702,0.16157747067871187
"Loudoun County, NOVA","Capital Hill, DC",4,07:30,US-50-EB,0.014558038040711907,0.9883847764947653
"Loudoun County, NOVA","Capital Hill, DC",1,08:00,I-66-EB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Capital Hill, DC",2,08:30,US-50-EB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Capital Hill, DC",3,08:30,I-66-EB,0.989778662916574,0.32228231616960024
"Loudoun County, NOVA","Capital Hill, DC",4,16:00,I-66-WB,31.5458979771551,0.0
"Loudoun County, NOVA","Capital Hill, DC",5,16:00,I-66-WB,1.4289018782621257,0.15303243753118245
"Loudoun County, NOVA","Capital Hill, DC",5,17:30,I-66-WB,1.0103664348516466,0.31231976278777407
"Loudoun County, NOVA","Arlington, DC",4,04:30,I-66-EB,3.3820215616649554,0.0007195449664223474
"Loudoun County, NOVA","Arlington, DC",2,05:00,I-66-EB,3.671014574150773,0.00024158956233311102
"Loudoun County, NOVA","Arlington, DC",1,05:30,US-50-EB,3.949644490170905,7.826735324978351e-05
"Loudoun County, NOVA","Arlington, DC",2,05:30,I-66-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",5,05:30,US-29-NB,1.6990015618592833,0.08931888933235377
"Loudoun County, NOVA","Arlington, DC",5,05:30,I-66-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",2,06:00,I-66-EB,1.6990015618592833,0.08931888933235377
"Loudoun County, NOVA","Arlington, DC",2,06:00,US-50-EB,5.192952566906589,2.0698493319315503e-07
"Loudoun County, NOVA","Arlington, DC",4,06:00,US-50-EB,2.6977189773671113,0.006981635038144418
"Loudoun County, NOVA","Arlington, DC",1,06:30,US-50-EB,0.02732704898466848,0.9781988829512593
"Loudoun County, NOVA","Arlington, DC",3,06:30,US-29-NB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",4,06:30,US-50-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",4,06:30,I-66-WB-TZ4-3-2_US-50-WB-TZ1,1.9618745361816987,0.04977709309805656
"Loudoun County, NOVA","Arlington, DC",5,06:30,I-66-EB,2.2799037860385005,0.022613395473209064
"Loudoun County, NOVA","Arlington, DC",5,06:30,US-50-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",1,07:00,US-50-EB,1.019528058148106,0.3079523396034747
"Loudoun County, NOVA","Arlington, DC",3,07:00,US-50-EB,0.6109595687032131,0.5412263471785852
"Loudoun County, NOVA","Arlington, DC",3,07:00,I-66-EB,1.4418572435378794,0.14934265017301707
"Loudoun County, NOVA","Arlington, DC",1,07:30,US-50-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",2,07:30,US-50-EB,1.4418572435378794,0.14934265017301707
"Loudoun County, NOVA","Arlington, DC",3,07:30,US-50-EB,1.3872031455685423,0.16537982655612704
"Loudoun County, NOVA","Arlington, DC",1,08:00,I-66-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",2,08:00,US-50-EB,0.9808824941560764,0.32665069116136314
